# Failure-criterion data for C/SiC -- inputs and validation targets for C4
# (the Hashin / Tsai-Wu / D-criterion comparison in KMACRO31).
#
# READ data/literature/README.md BEFORE USING.  The `confidence` column says
# whether a number came from the full text, a digitized figure, or a secondary
# summary.  Nothing marked `secondary` may be cited.
#
# ROLE column -- this matters more here than anywhere else in the project:
#   input       a number that is allowed to go on a UMAT card
#   validation  a COMPOSITE-level measurement.  The model must PREDICT it.
#               Putting one of these on a card double-counts the thermal
#               residual stress and destroys the whole TRS argument.
#
# The D-criterion critical damages (D11max, D22max, D66max) are the awkward
# case: they are composite-level, but the criterion is DEFINED by them the way
# Tsai-Wu is defined by Xt/Xc/S12.  They are therefore `input` -- but they are
# properties OF THE CRITERION, and using Yang's values means using Yang's
# material.  Replace them with values read off our own RVE virtual tests (the
# damage at the peak of the homogenised sigma-epsilon curve) as soon as M3 has
# run, and state in the thesis which set produced which figure.
#
# Units: strengths and moduli in MPa; damages and ratios dimensionless; T in K.
source_key,material,quantity,T_K,value,lo,hi,unit,role,confidence,note
# --------------------------------------------------------------------------
# [27] Yang, Jiao, Wang, Huang, Guo, Composites: Part A 77 (2015) 181-187.
#      2D cross-woven C/SiC, isothermal CVI, Vf(preform) = 40 %, rho ~ 2.0
#      g/cm3, STRONG fibre/matrix interface.  Table 1 + Section 4.1.
# --------------------------------------------------------------------------
YANG2015,2D C/SiC CVI strong-interface,E1,293,145700,,,MPa,validation,fulltext,"Table 1 initial modulus 145.7 GPa"
YANG2015,2D C/SiC CVI strong-interface,G12,293,37500,,,MPa,validation,fulltext,"Table 1 shear modulus 37.5 GPa (Section 4.1 quotes 37.53)"
YANG2015,2D C/SiC CVI strong-interface,nu12,293,0.07,,,-,validation,fulltext,"Table 1"
YANG2015,2D C/SiC CVI strong-interface,Xt,293,226.0,,,MPa,validation,fulltext,"Table 1 tensile strength"
YANG2015,2D C/SiC CVI strong-interface,S12,293,125.7,,,MPa,validation,fulltext,"Table 1 shear strength"
YANG2015,2D C/SiC CVI strong-interface,D11max,293,0.5224,,,-,input,fulltext,"Section 4.1: Djj = A*sj - B*sj^2 with A = 3.6e-3 /MPa, B = 5.7e-6 /MPa^2, evaluated at sj = Xt = 226 MPa. VERIFIED: 3.6e-3*226 - 5.7e-6*226^2 = 0.5225"
YANG2015,2D C/SiC CVI strong-interface,D22max,293,0.5224,,,-,input,fulltext,"same as D11max -- the paper sets j = 1 or 2 by structural symmetry of the plain weave"
YANG2015,2D C/SiC CVI strong-interface,D66max,293,0.5405,,,-,input,fulltext,"Section 4.1: D66 = B66*s6 with B66 = 4.3e-3 /MPa at s6 = S12 = 125.7 MPa. VERIFIED: 4.3e-3*125.7 = 0.5405"
YANG2015,2D C/SiC CVI strong-interface,damage_A,293,3.6e-3,,,1/MPa,input,fulltext,"Eq.12 normal-damage evolution, fitted to the unloading-modulus curve of Fig. 3"
YANG2015,2D C/SiC CVI strong-interface,damage_B,293,5.7e-6,,,1/MPa^2,input,fulltext,"Eq.12 quadratic term. The exponent is NOT readable from the PDF text layer; it was recovered by requiring Djj(Xt) = 0.5224, the value the paper itself quotes"
YANG2015,2D C/SiC CVI strong-interface,damage_B66,293,4.3e-3,,,1/MPa,input,fulltext,"Eq.13 shear-damage evolution (linear)"
YANG2015,2D C/SiC CVI strong-interface,offaxis_15deg,293,233.7,230.3,237.1,MPa,validation,fulltext,"Table 2. Criterion predictions: Eq.7 211.4, Eq.10a 202.1, Eq.10b 216.7, Eq.10c 209.1"
YANG2015,2D C/SiC CVI strong-interface,offaxis_30deg,293,200.6,200.1,201.1,MPa,validation,fulltext,"Table 2. Predictions: 187.7 / 179.8 / 206.7 / 195.4"
YANG2015,2D C/SiC CVI strong-interface,offaxis_45deg,293,195.0,175.0,215.0,MPa,validation,fulltext,"Table 2. Predictions: 175.5 / 172.7 / 203.3 / 191.8. ALL FOUR criteria UNDERPREDICT at every angle -- the D-criterion is conservative, which is the paper's own claim"
# --------------------------------------------------------------------------
# [33] Yang, Jiao, Guo, Theor. Appl. Mech. Lett. 4 (2014) 021007.
#      Source of the D-criterion itself (Eq.12).  Two different 2D C/SiC
#      materials are used to draw the tension-shear envelopes of Figs. 1-2.
# --------------------------------------------------------------------------
YANG2014,2D C/SiC weak-interface,Xc,293,430.2,,,MPa,validation,fulltext,"Fig. 1 caption / text; the weak-interface material"
YANG2014,2D C/SiC strong-interface,Xt,293,246.6,,,MPa,validation,fulltext,"Fig. 2 material"
YANG2014,2D C/SiC strong-interface,Xc,293,389.6,,,MPa,validation,fulltext,"Fig. 2 material"
YANG2014,2D C/SiC strong-interface,S12,293,128.5,,,MPa,validation,fulltext,"Fig. 2 material"
