key,title,journal,expected_doi,expected_volume,expected_page
S1,Crack band theory for fracture of concrete,Materials and Structures,10.1007/BF02486267,16,155-177
S2,Failure criteria for unidirectional fiber composites,Journal of Applied Mechanics,10.1115/1.3153664,47,329-334
S3,A general theory of strength for anisotropic materials,Journal of Composite Materials,10.1177/002199837100500106,5,58-80
S4,A progressive quadratic failure criterion for a laminate,Composites Science and Technology,10.1016/S0266-3538(96)00141-8,58,1023-1032
S5,A constitutive model for anisotropic damage in fiber-composites,Mechanics of Materials,10.1016/0167-6636(94)00053-0,20,125-152
S7,Thermal expansion coefficients of composite materials based on energy principles,Journal of Composite Materials,10.1177/002199836800200308,2,380-404
S8,Finite element approach for modelling fatigue damage in fibre-reinforced composite materials,Composites Part B Engineering,10.1016/S1359-8368(01)00038-5,32,575-588
S9,Development of continuum damage mechanics for elastic solids sustaining anisotropic and unilateral damage,International Journal of Damage Mechanics,10.1177/105678959300200401,2,311-329
S10,Damage induced anisotropy on the difficulties associated with the active passive unilateral condition,International Journal of Damage Mechanics,10.1177/105678959200100201,1,148-171
S11,Factors affecting thermal stress resistance of ceramic materials,Journal of the American Ceramic Society,10.1111/j.1151-2916.1955.tb14545.x,38,3-15
S12,Elastic energy at fracture and surface energy as design criteria for thermal shock,Journal of the American Ceramic Society,10.1111/j.1151-2916.1963.tb14605.x,46,535-540
S13,Unified theory of thermal shock fracture initiation and crack propagation in brittle ceramics,Journal of the American Ceramic Society,10.1111/j.1151-2916.1969.tb15848.x,52,600-604
S15,A continuous damage mechanics model for ductile fracture,Journal of Engineering Materials and Technology,10.1115/1.3225775,107,83-89
S17,Theory of mechanical properties of ceramic-matrix composites,Journal of the American Ceramic Society,10.1111/j.1151-2916.1991.tb06852.x,74,2837-2845
S18,Theory of multiple fracture of fibrous composites,Journal of Materials Science,10.1007/BF00550155,8,352-362
S19,Damage modelling of the elementary ply for laminated composites,Composites Science and Technology,10.1016/0266-3538(92)90097-M,43,257-267
S20,Continuum damage mechanics anisotropy and damage deactivation for brittle materials like concrete and ceramic composites,International Journal of Damage Mechanics,10.1177/105678959500400102,4,5-22
S21,Numerical aspects of the crack band approach,Computers and Structures,10.1016/j.compstruc.2012.06.006,110-111,60-78
S22,A consistent characteristic length for smeared cracking models,International Journal for Numerical Methods in Engineering,10.1002/nme.1620280214,28,461-474
S23,A simple numerical method of cycle jumps for cyclically loaded structures,International Journal of Fatigue,10.1016/j.ijfatigue.2006.01.010,28,1677-1689
S24,A fatigue failure criterion for fiber reinforced materials,Journal of Composite Materials,10.1177/002199837300700404,7,448-464
A1,High-temperature flexural strength of SiC ceramics prepared by additive manufacturing,International Journal of Applied Ceramic Technology,10.1111/ijac.13454,17,438-448
A2,Flexural Strength and Shear Strength of SiC-to-SiC Joints Fabricated by a Mo Diffusion Bonding Technique,Journal of the American Ceramic Society,10.1111/j.1551-2916.2005.00381.x,88,1892-1899
A3,Fracture Toughness and Flexural Strength of CVD SiC Chevron-Notched and Surface Crack in Flexure Specimens,Journal of the American Ceramic Society,10.1111/j.1551-2916.2004.01093.x,87,1093-1101
A4,High-Temperature Fracture Strength of a CVD-SiC Coating Layer for TRISO Nuclear Fuel Particles by a Micro-Tensile Test,Journal of the Korean Ceramic Society,10.4191/kcers.2015.52.6.441,52,441-448
A5,Time-Dependent Strength Degradation of a Siliconized Silicon Carbide Determined by Dynamic Fatigue,Journal of the American Ceramic Society,10.1111/j.1151-2916.1995.tb08040.x,78,
A6,Material Properties of a Sintered alpha-SiC,Journal of Physical and Chemical Reference Data,10.1063/1.556000,26,1195-1203
A7,Effect of pyrolysis temperature on the microstructure and thermal conductivity of polymer-derived monolithic and porous SiC ceramics,Journal of the European Ceramic Society,10.1016/j.jeurceramsoc.2020.09.028,41,1151-1162
A8,High-Temperature Properties and Applications of Si-Based Polymer-Derived Ceramics A Review,Materials,10.3390/ma14030614,14,614
