# Thermal-conductivity data for C/SiC -- constituent inputs and the composite
# targets they must reproduce.  Companion to data/properties/conductivity_bounds.py.
#
# READ data/literature/README.md.  `role` is the column that matters:
#   input       may go on a UMAT card / into the RVE
#   validation  a COMPOSITE measurement the model must PREDICT
#
# The whole reason this file exists: kbar3 (through-thickness) sets the quench
# temperature gradient, which is the central mechanism of the thesis.  It was
# the only property still carrying an empty cell.
#
# Units: k in W/(m.K) -- NOT the mm-N-tonne solver units.  Divide by 1000 for
# W/(mm.K) before putting a value on a card.
source_key,material,quantity,T_K,value,unit,role,confidence,note
SUN2021,carbon fibre (in 3D C/SiC),k11,296,8.0,W/(m.K),input,fulltext,"refs/[22] Table 1 'Temperature-independent material parameters'. Their refs [32-36]"
SUN2021,carbon fibre (in 3D C/SiC),k22,296,1.0,W/(m.K),input,fulltext,"refs/[22] Table 1. THE VALUE THAT CLOSED THE k2 GAP. Transverse/longitudinal ratio 0.125"
SUN2021,PyC interphase,k,296,25.0,W/(m.K),input,fulltext,"refs/[22] Table 1. Our RVE has no explicit interphase -- noted as a limitation"
SUN2021,voids,k,296,0.025,W/(m.K),input,fulltext,"refs/[22] Table 1, treated as air"
SUN2021,3D C/SiC,matrix_porosity,296,0.24,-,validation,fulltext,"refs/[22] Section 5, measured by X-ray CT; the paper also runs a 5/10/15/20 % study"
ZHANG2024,carbon fibre (in needled C/SiC),k11,296,8.0,W/(m.K),input,fulltext,"refs/[17] Table 1, citing their [24,25]. INDEPENDENT AGREEMENT with refs/[22]"
ZHANG2024,carbon fibre (in needled C/SiC),k22,296,1.0,W/(m.K),input,fulltext,"refs/[17] Table 1. Same fibre as ours: their Table 1 has E11 = 230 GPa, Xt = 3530, Xc = 2470 MPa"
ZHANG2024,PyC matrix,k,296,7.0,W/(m.K),input,fulltext,"refs/[17] Table 1"
ZHANG2024,SiC matrix,k,296,25.0,W/(m.K),input,fulltext,"refs/[17] Table 3. THE VALUE THAT SHOULD REPLACE THE SNEAD SINGLE-CRYSTAL NUMBER -- see conductivity_bounds.py"
ZHANG2024,pore defects,k,296,0.025,W/(m.K),input,fulltext,"refs/[17] Table 3, air"
KATOH2006,SiC matrix (CVI),k,293,70.0,W/(m.K),input,fulltext,"refs/[13] Table 2. Denser CVI matrix than refs/[17]; upper end of the plausible range"
KATOH2006,PyC interphase,k,293,5.0,W/(m.K),input,fulltext,"refs/[13] Table 2"
KATOH2006,2D SiC/SiC,kbar_through_thickness,1073,5.0,W/(m.K),validation,fulltext,"refs/[13] abstract: '<5 W/m K at <800 C for 2D architecture'. SiC/SiC, not C/SiC -- magnitudes do not transfer, the ARCHITECTURE EFFECT does"
KATOH2006,3D SiC/SiC,kbar_through_thickness,1173,12.5,W/(m.K),validation,fulltext,"refs/[13] abstract: 10-15 W/m K at 800-1000 C for 3D. Shows 3D >> 2D through the thickness"
KATOH2006,2D SiC/SiC,kbar_in_plane,293,35.0,W/(m.K),validation,fulltext,"refs/[13] Section 3.2: in-plane intersects the vertical axis at ~35 vs 15-20 through-thickness -> ANISOTROPY ~2. Our analytic bracket predicts 1.13-1.75"
CAO2020,2D C/SiC (CVI baseline),kbar_through_thickness,296,6.29,W/(m.K),validation,fulltext,"refs/[12] Section 3.1: 'Kcs is thermal conductivity of C/SiC composites measured as 6.29 W/m.k'. ** THE PRIMARY INVERSE-CALIBRATION TARGET ** -- the baseline material, before the CNT/SiC micro-pillars that paper adds. KEY CORRECTED 2026-08-11: this is Cao et al. 2020, not "LI2023" -- the old key misnamed the authors of refs/[12]"
CAO2020,2D C/SiC + CNT micropillars,kbar_through_thickness,296,20.69,W/(m.K),validation,fulltext,"refs/[12], the MODIFIED material. Do NOT use as our target -- it is the thing that paper invented"
YANG2024,CMC laminate 8HSW,kbar,296,3.49,W/(m.K),validation,fulltext,"refs/[20] Table 1, rho = 2.64 g/cm3, Vf = 46.4 %. Direction not stated explicitly in the table; treat as through-thickness for a laminate quench problem but flag the ambiguity"
YANG2024,CMC laminate 8HSW,kbar,1473,2.04,W/(m.K),validation,fulltext,"refs/[20] Table 1. Conductivity DROPS with temperature, opposite to the fibre trend in refs/[09]"
PRADERE2009,PANEX 33 carbon fibre,k11,1500,75.0,W/(m.K),input,fulltext,"refs/[09] Table 1, single-filament measurement. CONFLICTS with the 8 W/(m.K) used by refs/[17] and refs/[22] by a factor of ~9 -- carried as a sensitivity case, not resolved"
