eps_xx,sigma_xx_MPa,time,U1_raw
0.00000000e+00,-1.18234355e-05,0.000000,1.41137003e-04
2.32944149e-06,1.08633955e+00,0.000500,1.43466445e-04
4.65886842e-06,1.51410646e+00,0.001000,1.45795872e-04
6.98829535e-06,2.05636728e+00,0.001500,1.48125298e-04
9.31773684e-06,2.60774976e+00,0.002000,1.50454740e-04
1.28118845e-05,3.45153251e+00,0.002750,1.53948888e-04
1.80531060e-05,4.74257507e+00,0.003875,1.59190109e-04
2.59149383e-05,6.69828017e+00,0.005563,1.67051941e-04
3.75620875e-05,9.58154592e+00,0.008062,1.78699091e-04
4.92092513e-05,1.24388293e+01,0.010562,1.90346254e-04
6.08564005e-05,1.52708861e+01,0.013063,2.01993404e-04
7.25035643e-05,1.80808502e+01,0.015562,2.13640567e-04
8.41507135e-05,2.08688150e+01,0.018063,2.25287717e-04
9.57978773e-05,2.36328640e+01,0.020562,2.36934880e-04
1.07445041e-04,2.63750185e+01,0.023062,2.48582044e-04
1.19092190e-04,2.90788732e+01,0.025563,2.60229193e-04
1.30739340e-04,3.17054091e+01,0.028063,2.71876343e-04
1.42386518e-04,3.43653219e+01,0.030562,2.83523521e-04
1.54033667e-04,3.70131691e+01,0.033062,2.95170670e-04
1.65680816e-04,3.96423520e+01,0.035563,3.06817819e-04
1.77327966e-04,4.22535781e+01,0.038063,3.18464969e-04
1.88975144e-04,4.48479573e+01,0.040562,3.30112147e-04
2.00622293e-04,4.74267295e+01,0.043063,3.41759296e-04
2.12269442e-04,4.99908460e+01,0.045562,3.53406445e-04
2.23916621e-04,5.25413852e+01,0.048062,3.65053624e-04
2.35563770e-04,5.50790945e+01,0.050563,3.76700773e-04
2.47210919e-04,5.76048913e+01,0.053062,3.88347922e-04
2.58858068e-04,6.01195285e+01,0.055562,3.99995071e-04
2.70505247e-04,6.26234817e+01,0.058063,4.11642250e-04
2.82152396e-04,6.51174699e+01,0.060562,4.23289399e-04
2.93799545e-04,6.76015895e+01,0.063062,4.34936548e-04
3.05446723e-04,7.00761972e+01,0.065563,4.46583726e-04
3.17093873e-04,7.25415080e+01,0.068062,4.58230876e-04
3.28741022e-04,7.49976805e+01,0.070562,4.69878025e-04
3.40388171e-04,7.74449808e+01,0.073063,4.81525174e-04
3.52035320e-04,7.98835052e+01,0.075562,4.93172323e-04
3.63682499e-04,8.23132424e+01,0.078062,5.04819502e-04
3.75329677e-04,8.47342149e+01,0.080563,5.16466680e-04
3.86976797e-04,8.71460379e+01,0.083062,5.28113800e-04
3.98623975e-04,8.95486716e+01,0.085562,5.39760978e-04
4.10271154e-04,9.19421613e+01,0.088063,5.51408157e-04
4.21918274e-04,9.43265977e+01,0.090563,5.63055277e-04
4.33565452e-04,9.67019977e+01,0.093062,5.74702455e-04
4.45212572e-04,9.90682708e+01,0.095563,5.86349575e-04
4.56859751e-04,1.01425247e+02,0.098063,5.97996754e-04
4.68506929e-04,1.03772870e+02,0.100562,6.09643932e-04
4.80154049e-04,1.06110879e+02,0.103063,6.21291052e-04
4.91801227e-04,1.08438662e+02,0.105563,6.32938230e-04
5.03448406e-04,1.10756085e+02,0.108062,6.44585409e-04
5.15095526e-04,1.13062919e+02,0.110563,6.56232529e-04
5.26742704e-04,1.15358396e+02,0.113063,6.67879707e-04
5.38389882e-04,1.17641734e+02,0.115562,6.79526886e-04
5.50037003e-04,1.19912389e+02,0.118063,6.91174006e-04
5.61684181e-04,1.22171573e+02,0.120563,7.02821184e-04
5.73331359e-04,1.24417701e+02,0.123062,7.14468362e-04
5.84978479e-04,1.26652448e+02,0.125563,7.26115482e-04
5.96625658e-04,1.28874750e+02,0.128063,7.37762661e-04
6.08272778e-04,1.31085050e+02,0.130562,7.49409781e-04
6.19919956e-04,1.33282474e+02,0.133062,7.61056959e-04
6.31567134e-04,1.35465404e+02,0.135562,7.72704137e-04
6.43214255e-04,1.37632469e+02,0.138063,7.84351258e-04
6.54861433e-04,1.39784156e+02,0.140563,7.95998436e-04
6.66508611e-04,1.41920466e+02,0.143063,8.07645614e-04
6.78155731e-04,1.44040187e+02,0.145562,8.19292734e-04
6.89802910e-04,1.46144110e+02,0.148062,8.30939913e-04
7.01450088e-04,1.48231649e+02,0.150562,8.42587091e-04
7.13097208e-04,1.50303198e+02,0.153062,8.54234211e-04
7.24744386e-04,1.52355802e+02,0.155563,8.65881389e-04
7.36391565e-04,1.54386790e+02,0.158063,8.77528568e-04
7.48038685e-04,1.56392219e+02,0.160563,8.89175688e-04
7.59685863e-04,1.58370789e+02,0.163062,9.00822866e-04
7.71332983e-04,1.60325148e+02,0.165562,9.12469986e-04
7.82980162e-04,1.62261140e+02,0.168062,9.24117165e-04
7.94627340e-04,1.64182774e+02,0.170563,9.35764343e-04
8.06274460e-04,1.66088226e+02,0.173063,9.47411463e-04
8.17921638e-04,1.67979580e+02,0.175563,9.59058641e-04
8.26657037e-04,1.69389956e+02,0.177437,9.67794040e-04
8.35392377e-04,1.70794637e+02,0.179312,9.76529380e-04
8.44127775e-04,1.72194980e+02,0.181187,9.85264778e-04
8.52863115e-04,1.73588575e+02,0.183062,9.94000118e-04
8.64510235e-04,1.75436049e+02,0.185563,1.00564724e-03
8.76157472e-04,1.77273185e+02,0.188063,1.01729447e-03
8.87804592e-04,1.79104602e+02,0.190563,1.02894159e-03
8.99451712e-04,1.80928828e+02,0.193062,1.04058872e-03
9.11098949e-04,1.82747155e+02,0.195562,1.05223595e-03
