eps_xx,sigma_xx_MPa,time,U1_raw
0.00000000e+00,-5.08231119e-06,0.000000,-3.17884167e-03
2.33948231e-06,3.10643160e-01,0.000500,-3.17650218e-03
4.67873178e-06,6.06983373e-01,0.001000,-3.17416294e-03
7.01821409e-06,9.01098574e-01,0.001500,-3.17182345e-03
1.05274376e-05,1.34088116e+00,0.002250,-3.16831423e-03
1.57910399e-05,1.99820005e+00,0.003375,-3.16305063e-03
2.36865599e-05,2.97891415e+00,0.005063,-3.15515511e-03
3.53837386e-05,4.42034957e+00,0.007562,-3.14345793e-03
4.70809173e-05,5.84931609e+00,0.010062,-3.13176075e-03
5.87778632e-05,7.26635018e+00,0.012563,-3.12006380e-03
7.04750419e-05,8.67087575e+00,0.015062,-3.10836663e-03
8.21722206e-05,1.00635121e+01,0.017562,-3.09666945e-03
9.38691664e-05,1.14437410e+01,0.020063,-3.08497250e-03
1.05566345e-04,1.28121431e+01,0.022563,-3.07327532e-03
1.17263524e-04,1.41682913e+01,0.025062,-3.06157814e-03
1.28960470e-04,1.55125921e+01,0.027563,-3.04988120e-03
1.40657648e-04,1.68451190e+01,0.030063,-3.03818402e-03
1.52354827e-04,1.81660814e+01,0.032563,-3.02648684e-03
1.64051773e-04,1.94754710e+01,0.035062,-3.01478989e-03
1.75748952e-04,2.07733853e+01,0.037563,-3.00309272e-03
1.87446130e-04,2.20600551e+01,0.040062,-2.99139554e-03
1.99143076e-04,2.33354663e+01,0.042562,-2.97969859e-03
2.10840255e-04,2.45997702e+01,0.045063,-2.96800141e-03
2.22537434e-04,2.58532217e+01,0.047562,-2.95630423e-03
2.34234380e-04,2.70960431e+01,0.050062,-2.94460729e-03
2.45931558e-04,2.83281294e+01,0.052563,-2.93291011e-03
2.57628737e-04,2.95495885e+01,0.055062,-2.92121293e-03
2.69325916e-04,3.07602559e+01,0.057563,-2.90951575e-03
2.81022862e-04,3.19603781e+01,0.060063,-2.89781881e-03
2.92720040e-04,3.31498899e+01,0.062563,-2.88612163e-03
3.04417219e-04,3.43288819e+01,0.065063,-2.87442445e-03
3.16114165e-04,3.54972438e+01,0.067562,-2.86272750e-03
3.27811344e-04,3.66549867e+01,0.070063,-2.85103032e-03
3.39508522e-04,3.78019862e+01,0.072563,-2.83933314e-03
3.51205468e-04,3.89382395e+01,0.075062,-2.82763620e-03
3.62902647e-04,4.00637861e+01,0.077563,-2.81593902e-03
3.74599826e-04,4.11784308e+01,0.080063,-2.80424184e-03
3.86296771e-04,4.22820801e+01,0.082562,-2.79254490e-03
3.97993950e-04,4.33744990e+01,0.085062,-2.78084772e-03
4.09691129e-04,4.44549232e+01,0.087563,-2.76915054e-03
4.21388075e-04,4.55248644e+01,0.090062,-2.75745359e-03
4.33085253e-04,4.65833969e+01,0.092562,-2.74575641e-03
4.44782432e-04,4.76289835e+01,0.095063,-2.73405924e-03
4.56479378e-04,4.86637956e+01,0.097562,-2.72236229e-03
4.68176557e-04,4.96857834e+01,0.100062,-2.71066511e-03
4.79873735e-04,5.06969401e+01,0.102563,-2.69896793e-03
4.91570681e-04,5.16949781e+01,0.105062,-2.68727099e-03
5.03267860e-04,5.26814093e+01,0.107562,-2.67557381e-03
5.14965039e-04,5.36560185e+01,0.110063,-2.66387663e-03
5.26661985e-04,5.46187094e+01,0.112562,-2.65217968e-03
5.38359163e-04,5.55694820e+01,0.115062,-2.64048250e-03
5.50056342e-04,5.65083420e+01,0.117563,-2.62878533e-03
5.61753521e-04,5.74352951e+01,0.120063,-2.61708815e-03
5.73450467e-04,5.83503242e+01,0.122562,-2.60539120e-03
5.85147645e-04,5.92534294e+01,0.125062,-2.59369402e-03
5.96844824e-04,6.01447579e+01,0.127562,-2.58199684e-03
6.08541770e-04,6.10244058e+01,0.130063,-2.57029990e-03
6.20238949e-04,6.18924809e+01,0.132563,-2.55860272e-03
6.31936127e-04,6.27490454e+01,0.135063,-2.54690554e-03
6.43633073e-04,6.35940822e+01,0.137562,-2.53520859e-03
6.55330252e-04,6.44276877e+01,0.140062,-2.52351142e-03
6.67027431e-04,6.52498845e+01,0.142562,-2.51181424e-03
6.78724376e-04,6.60607066e+01,0.145063,-2.50011729e-03
6.90421555e-04,6.68601426e+01,0.147563,-2.48842011e-03
7.02118734e-04,6.76482945e+01,0.150063,-2.47672293e-03
7.13815680e-04,6.84252018e+01,0.152562,-2.46502599e-03
7.25512858e-04,6.91908477e+01,0.155062,-2.45332881e-03
7.37210037e-04,6.99453339e+01,0.157562,-2.44163163e-03
7.48906983e-04,7.06886720e+01,0.160063,-2.42993468e-03
7.60604162e-04,7.14209013e+01,0.162563,-2.41823751e-03
7.72301340e-04,7.21420617e+01,0.165063,-2.40654033e-03
7.83998286e-04,7.28521475e+01,0.167562,-2.39484338e-03
7.95695465e-04,7.35511812e+01,0.170062,-2.38314620e-03
8.07392644e-04,7.42391913e+01,0.172562,-2.37144902e-03
8.19089590e-04,7.49162342e+01,0.175063,-2.35975208e-03
8.30786768e-04,7.55823497e+01,0.177563,-2.34805490e-03
8.42483947e-04,7.62375095e+01,0.180063,-2.33635772e-03
8.54181126e-04,7.68818211e+01,0.182563,-2.32466054e-03
8.65878072e-04,7.75154657e+01,0.185062,-2.31296360e-03
8.77575250e-04,7.81385791e+01,0.187562,-2.30126642e-03
