eps_xx,sigma_xx_MPa,time,U1_raw
0.00000000e+00,-3.62174794e-08,0.000000,-1.61441894e-05
2.40807276e-06,6.02364245e-01,0.000500,-1.37361167e-05
4.81614461e-06,9.96367545e-01,0.001000,-1.13280448e-05
7.22421737e-06,1.37825838e+00,0.001500,-8.91997206e-06
9.63228922e-06,1.75763066e+00,0.002000,-6.51190021e-06
1.32443972e-05,2.35378133e+00,0.002750,-2.89979221e-06
1.86625593e-05,3.29807622e+00,0.003875,2.51836991e-06
2.40807212e-05,4.27128160e+00,0.005000,7.93653180e-06
2.94988840e-05,5.25079999e+00,0.006125,1.33546946e-05
3.49170459e-05,6.23468404e+00,0.007250,1.87728565e-05
4.30442888e-05,7.70994641e+00,0.008938,2.69000993e-05
5.50846489e-05,9.88404364e+00,0.011437,3.89404595e-05
6.71250091e-05,1.20429387e+01,0.013938,5.09808197e-05
7.91653692e-05,1.41807659e+01,0.016438,6.30211798e-05
9.12057330e-05,1.62967537e+01,0.018938,7.50615436e-05
1.03246090e-04,1.84147516e+01,0.021437,8.71019001e-05
1.15286453e-04,2.05265397e+01,0.023937,9.91422639e-05
1.27326810e-04,2.26327452e+01,0.026438,1.11182620e-04
1.39367174e-04,2.47338154e+01,0.028937,1.23222984e-04
1.51407530e-04,2.68305430e+01,0.031438,1.35263341e-04
1.63447901e-04,2.89234515e+01,0.033937,1.47303712e-04
1.75488258e-04,3.10129318e+01,0.036438,1.59344068e-04
1.87528614e-04,3.30992924e+01,0.038938,1.71384425e-04
1.99568971e-04,3.51827712e+01,0.041437,1.83424781e-04
2.11609342e-04,3.72635322e+01,0.043938,1.95465153e-04
2.23649698e-04,3.93416519e+01,0.046437,2.07505509e-04
2.35690055e-04,4.14171700e+01,0.048937,2.19545866e-04
2.47730412e-04,4.34902789e+01,0.051438,2.31586222e-04
2.59770783e-04,4.55609136e+01,0.053937,2.43626593e-04
2.71811125e-04,4.76291137e+01,0.056437,2.55666935e-04
2.83851496e-04,4.96948198e+01,0.058938,2.67707306e-04
2.95891867e-04,5.17580063e+01,0.061437,2.79747677e-04
3.07932209e-04,5.38186166e+01,0.063938,2.91788019e-04
3.19972580e-04,5.58766112e+01,0.066437,3.03828390e-04
3.32012951e-04,5.79319276e+01,0.068938,3.15868761e-04
3.44053293e-04,5.99845151e+01,0.071438,3.27909103e-04
3.56093664e-04,6.20343225e+01,0.073937,3.39949474e-04
3.68134035e-04,6.40813047e+01,0.076438,3.51989846e-04
3.80174377e-04,6.61254107e+01,0.078938,3.64030187e-04
3.92214748e-04,6.81665951e+01,0.081437,3.76070559e-04
4.04255090e-04,7.02048183e+01,0.083938,3.88110901e-04
4.16295461e-04,7.22400351e+01,0.086438,4.00151272e-04
4.28335832e-04,7.42722284e+01,0.088937,4.12191643e-04
4.40376174e-04,7.63013699e+01,0.091438,4.24231985e-04
4.52416545e-04,7.83274654e+01,0.093938,4.36272356e-04
4.64456916e-04,8.03505204e+01,0.096437,4.48312727e-04
4.76497258e-04,8.23705633e+01,0.098937,4.60353069e-04
4.88537629e-04,8.43876451e+01,0.101438,4.72393440e-04
5.00578000e-04,8.64018223e+01,0.103937,4.84433811e-04
5.12618342e-04,8.84131685e+01,0.106437,4.96474153e-04
5.24658713e-04,9.04217461e+01,0.108938,5.08514524e-04
5.36699084e-04,9.24276173e+01,0.111437,5.20554895e-04
5.48739456e-04,9.44308671e+01,0.113937,5.32595266e-04
5.60779768e-04,9.64315746e+01,0.116438,5.44635579e-04
5.72820139e-04,9.84298476e+01,0.118937,5.56675950e-04
5.84860511e-04,1.00425822e+02,0.121437,5.68716321e-04
5.96900882e-04,1.02419633e+02,0.123938,5.80756692e-04
6.08941253e-04,1.04411452e+02,0.126438,5.92797063e-04
6.20981566e-04,1.06401436e+02,0.128937,6.04837376e-04
6.33021937e-04,1.08389744e+02,0.131437,6.16877747e-04
6.45062308e-04,1.10376512e+02,0.133937,6.28918118e-04
6.57102679e-04,1.12361875e+02,0.136438,6.40958489e-04
6.69143050e-04,1.14345914e+02,0.138938,6.52998860e-04
6.81183421e-04,1.16328753e+02,0.141438,6.65039232e-04
6.93223734e-04,1.18310459e+02,0.143937,6.77079544e-04
7.05264105e-04,1.20291101e+02,0.146437,6.89119915e-04
7.17304476e-04,1.22270758e+02,0.148937,7.01160287e-04
7.29344847e-04,1.24249452e+02,0.151438,7.13200658e-04
7.41385218e-04,1.26227229e+02,0.153938,7.25241029e-04
7.53425531e-04,1.28204145e+02,0.156438,7.37281342e-04
7.65465902e-04,1.30180303e+02,0.158937,7.49321713e-04
7.77506273e-04,1.32155803e+02,0.161437,7.61362084e-04
7.89546644e-04,1.34130761e+02,0.163937,7.73402455e-04
8.01587015e-04,1.36105322e+02,0.166438,7.85442826e-04
8.13627386e-04,1.38079634e+02,0.168938,7.97483197e-04
8.25667699e-04,1.40053843e+02,0.171438,8.09523510e-04
8.37708070e-04,1.42028087e+02,0.173937,8.21563881e-04
8.49748441e-04,1.44002445e+02,0.176437,8.33604252e-04
8.61788812e-04,1.45977187e+02,0.178937,8.45644623e-04
8.73829184e-04,1.47952031e+02,0.181438,8.57684994e-04
8.85869496e-04,1.49927101e+02,0.183938,8.69725307e-04
8.97909867e-04,1.51902353e+02,0.186438,8.81765678e-04
9.09950239e-04,1.53877571e+02,0.188938,8.93806049e-04
9.21990610e-04,1.55852720e+02,0.191437,9.05846420e-04
9.34030981e-04,1.57827587e+02,0.193937,9.17886791e-04
9.46071352e-04,1.59801967e+02,0.196437,9.29927162e-04
9.58111665e-04,1.61775645e+02,0.198938,9.41967475e-04
9.70152036e-04,1.63748405e+02,0.201438,9.54007846e-04
9.82192407e-04,1.65719977e+02,0.203938,9.66048217e-04
9.94232778e-04,1.67690178e+02,0.206437,9.78088588e-04
1.00627315e-03,1.69658817e+02,0.208937,9.90128960e-04
1.01831352e-03,1.71625700e+02,0.211437,1.00216933e-03
1.03035389e-03,1.73590636e+02,0.213938,1.01420970e-03
1.04239426e-03,1.75553284e+02,0.216438,1.02625007e-03
1.05443452e-03,1.77513486e+02,0.218938,1.03829033e-03
1.06647489e-03,1.79471368e+02,0.221437,1.05033070e-03
1.07851526e-03,1.81425897e+02,0.223937,1.06237107e-03
1.09055563e-03,1.83376338e+02,0.226437,1.07441144e-03
1.10259600e-03,1.85322454e+02,0.228938,1.08645181e-03
1.11463637e-03,1.87264176e+02,0.231438,1.09849218e-03
1.12667674e-03,1.89199715e+02,0.233938,1.11053255e-03
1.13871711e-03,1.91129570e+02,0.236437,1.12257292e-03
1.15075749e-03,1.93053230e+02,0.238937,1.13461330e-03
1.16279786e-03,1.94970119e+02,0.241437,1.14665367e-03
1.17483823e-03,1.96879489e+02,0.243938,1.15869404e-03
1.18687848e-03,1.98780094e+02,0.246438,1.17073429e-03
1.19891885e-03,2.00671346e+02,0.248938,1.18277466e-03
1.21095922e-03,2.02551320e+02,0.251437,1.19481503e-03
1.22299960e-03,2.04418769e+02,0.253938,1.20685541e-03
1.23503997e-03,2.06271769e+02,0.256438,1.21889578e-03
1.24708034e-03,2.08107354e+02,0.258938,1.23093615e-03
1.25912071e-03,2.09925952e+02,0.261438,1.24297652e-03
1.27116108e-03,2.11725119e+02,0.263938,1.25501689e-03
1.28320145e-03,2.13504696e+02,0.266438,1.26705726e-03
1.29524182e-03,2.15264615e+02,0.268937,1.27909763e-03
