kind,step,phase,item,value,x,y,z,basis,verdict
meta,,,odb,,,,,E:\LTH\LTH_M6_0812_1411\LTH_M6_T500.odb,input
meta,,,elements,26452,,,,instance PART-1-1,input
meta,,,depvar_named,1,,,,SDV_* fields present in the odb,input
meta,,,profile_axis,0,,,,0=x 1=y 2=z,input
meta,,,dmax_cap,0.99,,,,card D_DMAX in abaqus/retune_deck.py,input
phase,Manufacturing_Cooling,MATRIX,volume_mm3,2.70449,,,,sum of IVOL over the phase,subcritical
phase,Manufacturing_Cooling,MATRIX,damg_mean,0.041055,,,,max of DMT/DMC,subcritical
phase,Manufacturing_Cooling,MATRIX,damg_p50,0.0209766,,,,max of DMT/DMC,subcritical
phase,Manufacturing_Cooling,MATRIX,damg_p90,0.279237,,,,max of DMT/DMC,subcritical
phase,Manufacturing_Cooling,MATRIX,damg_p99,0.315209,,,,max of DMT/DMC,subcritical
phase,Manufacturing_Cooling,MATRIX,damg_max,0.344269,,,,max of DMT/DMC,subcritical
phase,Manufacturing_Cooling,MATRIX,volfrac_damg_ge_0.01,0.316878,,,,"max of DMT/DMC, volume-weighted",subcritical
phase,Manufacturing_Cooling,MATRIX,volfrac_damg_ge_0.10,0.153503,,,,"max of DMT/DMC, volume-weighted",subcritical
phase,Manufacturing_Cooling,MATRIX,volfrac_damg_ge_0.50,0,,,,"max of DMT/DMC, volume-weighted",subcritical
phase,Manufacturing_Cooling,MATRIX,volfrac_damg_ge_0.90,0,,,,"max of DMT/DMC, volume-weighted",subcritical
phase,Manufacturing_Cooling,MATRIX,modefrac_11_matrix_tension,1,,,,"DMODE 11 = matrix_tension, volume-weighted",subcritical
phase,Manufacturing_Cooling,YARN0,volume_mm3,0.670818,,,,sum of IVOL over the phase,intact
phase,Manufacturing_Cooling,YARN0,damg_mean,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN0,damg_p50,0,,,,max of DY1/DYT,intact
phase,Manufacturing_Cooling,YARN0,damg_p90,0,,,,max of DY1/DYT,intact
