obs,knob,p_base,O_base,dO_dp_h1,S_h1em3,S_h2em3,dS_steps,structure,fd_verdict,basis
y1t_peak,Yt,80,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,NEAR_NULL,OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,Yc,350,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,NEAR_NULL,OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,S12,120,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,NEAR_NULL,OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17); S13 moved with S12
y1t_peak,S23,100,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,NEAR_NULL,OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,X_PO,700,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,NEAR_NULL,OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,K1,8000,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,NEAR_NULL,OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,SY0,250,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,STRUCTURAL_ZERO(cross-phase),OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,HISO,100000,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,STRUCTURAL_ZERO(cross-phase),OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17)
y1t_peak,Gtt,0,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,STRUCTURAL_ZERO(p=0),OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17); relative step at p=0 is the zero step
y1t_peak,Gtc,0,2.835145200e+03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.00e+00,STRUCTURAL_ZERO(p=0),OK,central FD; rel steps 1e-3/2e-3 at V2_0 card; rF derived from X_PO+K1 (Ge Eq.17); relative step at p=0 is the zero step
